time,latitude,longitude,depth,mag,place
2023-12-29T17:02:34.186Z,-20.1324,169.703,121.675,4.0,"78 km SE of Isangel, Vanuatu"
2023-12-29T16:31:16.478Z,25.0911,96.5235,10.0,5.0,"93 km WSW of Myitkyina, Myanmar"
2023-12-29T16:26:50.027Z,2.6211,121.8937,556.561,4.4,"264 km NNW of Gorontalo, Indonesia"
2023-12-29T14:48:58.685Z,-7.1376,67.8494,10.0,4.7,Mid-Indian Ridge
2023-12-29T14:16:10.849Z,-9.4932,148.9788,10.0,4.2,"114 km SE of Popondetta, Papua New Guinea"
2023-12-29T14:13:57.533Z,20.4001,145.2178,10.0,4.2,"Maug Islands region, Northern Mariana Islands"
2023-12-29T13:54:21.609Z,-20.7909,169.3333,54.212,4.2,"138 km S of Isangel, Vanuatu"
2023-12-29T13:20:23.584Z,52.4184,172.307,10.0,4.1,"76 km SW of Attu Station, Alaska"
2023-12-29T12:33:33.662Z,14.2517,-91.4038,83.572,4.1,"5 km SW of Tiquisate, Guatemala"
2023-12-29T12:15:13.439Z,-23.4198,-179.5237,553.034,4.3,south of the Fiji Islands
2023-12-29T12:05:11.194Z,-52.5241,-75.8496,10.0,4.3,"245 km WSW of Puerto Natales, Chile"
2023-12-29T11:02:48.498Z,-19.1705,169.0676,154.522,4.7,"46 km NNW of Isangel, Vanuatu"
2023-12-29T10:29:32.017Z,6.7248,126.9004,68.61,4.6,"61 km SE of Tarragona, Philippines"
2023-12-29T08:42:05.822Z,-7.2313,68.0639,10.0,5.0,Chagos Archipelago region
2023-12-29T08:36:24.534Z,-22.3696,-67.6488,173.267,4.2,"82 km NE of San Pedro de Atacama, Chile"
2023-12-29T07:54:19.392Z,-65.4171,179.4687,10.0,4.6,Balleny Islands region
2023-12-29T07:09:17.833Z,-15.1101,-173.4651,10.0,4.6,"99 km NNE of Hihifo, Tonga"
2023-12-29T07:09:12.328Z,80.5129,-2.3882,10.0,4.0,north of Svalbard
2023-12-29T05:44:15.226Z,32.3311,141.8624,10.0,4.2,"Izu Islands, Japan region"
2023-12-29T04:43:40.059Z,53.9755,157.3953,261.057,4.0,"109 km NW of Yelizovo, Russia"
2023-12-29T04:38:54.026Z,32.3046,141.7204,10.0,4.9,"Izu Islands, Japan region"
2023-12-29T03:37:19.230Z,-7.0109,155.0124,10.0,5.2,"92 km SW of Panguna, Papua New Guinea"
2023-12-29T03:17:48.179Z,44.4931,149.1838,35.551,4.3,"131 km SE of Kuril’sk, Russia"
2023-12-29T02:40:18.551Z,-20.4696,-69.8989,86.524,4.0,"26 km SSW of Pozo Almonte, Chile"
2023-12-29T02:38:10.299Z,-7.101,67.9432,10.0,5.2,Mid-Indian Ridge
2023-12-29T02:00:13.796Z,-13.7718,66.0713,10.0,4.4,Mid-Indian Ridge
2023-12-29T01:21:04.915Z,-7.2595,67.9631,10.0,4.8,Mid-Indian Ridge
2023-12-29T01:18:50.036Z,-7.1134,67.98,9.929,5.7,Mid-Indian Ridge
2023-12-29T01:16:31.220Z,19.166333333333,-155.42133333333,12.33,4.36,"7 km SE of Pāhala, Hawaii"
2023-12-29T01:11:22.106Z,44.4655,148.9388,44.541,4.3,"119 km SE of Kuril’sk, Russia"
